base_word,permuted_word
gesehen,egshjon
habe,bei
gestern,giesternun
dich,udich
party,purt
auf,au
der,ar
ich,imch
durch,orh
wildnis,ogleduns
hubschrauber,hubschraueor
hund,uhundr
jagte,taej
den,nd
die,det
tennisball,tenniscbalr
beabsichtigt,abeabcishtig
immer,mnera
was,wai
offenbart,offoffenbart
echter,echterei
war,awarrer
ein,ine
handwerker,idbwerker
einfach,ifnac
idiot,do
bleizungiger,bazlger
geh,gieh
selbst,soelbestu
fick,fiv
und,uutd
arsch,arwsuch
schiebe,schiebeq
es,szec
dir,ei
in,unni
als,asqyl
heißer,iße
schmieds,schydemses
des,set
arschspalte,uarschspalt
beste,ebetd
eines,eisn
idioten,dote
das,isad
du,u
bist,abuist
so,eso
leid,eidu
tut,tutu
sein,se
mir,memi
wie,wie
kann,kenn
nur,nuer
erklare,oerkla
